歌手：Collective Soul,所属专辑：Afterwords,Bearing Witness,2310592,2579,[2649, 1461, 990, 809, 558, 421, 418, 174, 21, 18, 15]
歌手：夏雨菲,所属专辑：讲真的,讲真的,571338176,563,[533, 380, 104, 79, 63, 25, 24, 22, 13, 10]
歌手：Avicii / Martin Garrix / Simon Aldred,所属专辑：Waiting For Love,Waiting For Love,31356499,141504,[314894, 187187, 138823, 111748, 72018, 63877, 60241, 33179, 30253, 28668, 24358, 21762, 21380, 21267, 19751]
歌手：Selena Gomez / Marshmello,所属专辑：Wolves,Wolves,515269424,48146,[122829, 78579, 48006, 45922, 44225, 35563, 20740, 12719, 10040, 8741, 6556, 5233, 5084, 3545, 3113]
歌手：4 Non Blondes,所属专辑：What's Up?,What's Up,2112908,17580,[28509, 23638, 14489, 8745, 5240, 5200, 4106, 3205, 2433, 2294, 1937, 1623, 1250, 1154, 777]
歌手：Rameez,所属专辑：Hello Summer (Radio Edit),Hello Summer (Radio Edit),424477211,11871,[39647, 15597, 12382, 11687, 7085, 5499, 3487, 3408, 2094, 1916, 819, 662, 476, 432, 363]
歌手：王菲,所属专辑：王菲,闷,300058,12990,[26410, 13683, 10273, 8515, 8066, 7397, 5870, 4017, 3921, 2237, 1825, 1535, 1179, 1098, 606]
歌手：李克勤,所属专辑：雨中街头剧,护花使者,115569,35285,[119400, 82440, 45542, 41772, 35057, 30039, 28218, 17458, 16392, 16104, 13912, 13527, 10066, 8256, 6437]
歌手：Rag'N'Bone Man,所属专辑：Skin,Skin,455653437,40107,[226870, 98122, 71978, 59663, 35328, 34770, 32334, 25251, 20141, 13538, 13498, 12005, 10040, 8420, 7973]
歌手：孙燕姿 / 倉木麻衣,所属专辑：The Moment - (关键时刻),Tonight, I Feel Close To You,287375,7952,[8070, 5810, 5440, 3459, 3305, 1897, 1513, 1419, 1418, 1297, 815, 737, 653, 562, 497]
歌手：Adele,所属专辑：25,Send My Love (To Your New Lover),36871371,2510,[4152, 2326, 1967, 1229, 1041, 733, 554, 528, 353, 344, 292, 198, 55, 31, 29]
歌手：Adele,所属专辑：21,Set Fire to the Rain,2117009,14642,[42882, 32302, 25656, 14299, 10565, 9845, 9658, 7889, 5789, 5152, 4953, 3998, 3376, 772, 404]
歌手：夏雨菲,所属专辑：体面,体面,1309903265,10241,[4352, 4051, 3805, 3572, 2665, 1892, 1718, 1409, 1186, 815, 735, 641, 575, 396, 319]
歌手：Adele,所属专辑：25,Million Years Ago,36871368,14969,[33401, 19794, 17481, 10317, 6570, 5524, 5056, 4104, 3389, 3101, 2492, 1920, 1886, 1873, 1696]
歌手：Sixx: A.M.,所属专辑：This Is Gonna Hurt,Skin,19167243,8607,[17259, 12091, 8319, 7938, 7296, 4448, 3835, 3182, 1770, 1715, 1630, 1465, 1236, 1185, 395]
歌手：孙子涵,所属专辑：涵剧先森,巴黎夜雨,28661857,3265,[4057, 3082, 1743, 1386, 1272, 663, 537, 447, 432, 425, 321, 143, 107, 80, 72]
歌手：Johnny Cash,所属专辑：Hurt,Hurt,18828737,22466,[37687, 27480, 17461, 14898, 14164, 8832, 8281, 8152, 5981, 3809, 3300, 2555, 2420, 2208, 1276]
歌手：Blonde Redhead,所属专辑：Melody of Certain Damaged Lemons,For the Damaged Coda,31460355,18050,[36090, 17682, 16249, 13361, 12237, 10396, 8688, 8331, 6522, 6499, 4781, 3231, 2740, 2689, 2239]
歌手：Tony! Toni! Toné!,所属专辑：90s R&B,No Ordinary Love (Radio Edit),491271600,109,[112, 103, 82, 75, 32, 32]
歌手：Yezhi,所属专辑：Rick and Morty Remix,Rick and Morty - RIP N MORTY,516207209,897,[3058, 1313, 1230, 757, 664, 555, 310, 296, 212, 120, 117, 95, 79, 71, 46]
歌手：Ryan Elder,所属专辑：最新热歌慢摇103,Goodbye Moonmen,33875243,3866,[7283, 4430, 4035, 2057, 2019, 1637, 1315, 1057, 708, 650, 625, 544, 454, 339, 222]
歌手：Mazzy Star,所属专辑：Among My Swan,Look On Down From The Bridge,17276013,4513,[10231, 5946, 4980, 3745, 3458, 3118, 2341, 2196, 1936, 1428, 628, 600, 517, 450, 363]
歌手：陈慧琳,所属专辑：Stylish Index(第2版),前所未见,213673,21103,[75298, 25085, 23486, 16564, 16211, 11672, 10346, 8186, 7619, 7289, 4959, 3400, 3373, 2794, 2293]
歌手：LSD / Sia / Diplo / Labrinth,所属专辑：Genius,Genius,556203261,15513,[39022, 30395, 23858, 16013, 9342, 6896, 4659, 4115, 3428, 2764, 1933, 1573, 1163, 1031, 818]
歌手：许飞,所属专辑：父亲写的散文诗,父亲写的散文诗,417250673,191287,[513793, 468584, 267193, 254167, 207947, 159508, 139182, 115666, 88600, 84210, 72544, 58782, 48257, 42236, 28200]
歌手：李悦君Ericaceae,所属专辑：历久尝新,梦伴,26584453,52950,[71330, 44055, 29767, 28948, 25429, 20757, 17245, 11500, 7258, 6991, 6278, 5849, 4599, 4456, 4122]
歌手：Yo-Yo Ma,所属专辑：Soul of the Tango,Libertango,1699535,7197,[23979, 12571, 7922, 7459, 6193, 5519, 4397, 3566, 2948, 2199, 2034, 1570, 960, 888, 666]
